C_hat,D_hat,G_hat,N_gamma,N_star_theory,P_T,P_T_est,S_scalar,acc,accountant,avg_regret,avg_regret_with_noise,base_eta_t,c_hat,comparator_type,cum_regret,cum_regret_with_noise,d_norm,delta_step_theory,delta_total,drift_boost_remaining,drift_flag,eps_remaining,eps_spent,eps_step_theory,eta_t,event,event_id,event_type,events_seen,is_calibrated,lambda_est,lambda_raw,m_capacity,m_used,noise_regret_cum,noise_regret_increment,op,pair_admitted,pair_damped,path_regret_increment,regret,regret_dynamic,regret_increment,regret_path_term,regret_static_term,rho_remaining,rho_spent,rho_step,sample_id,sc_active,sc_stable,segment_id,sens_delete,sigma_step,sigma_step_theory,static_oracle_norm,static_regret_increment,x_norm
,,,,,0.0,0.0,42.95812239648216,1.4245885486857957,eps_delta,0.0,0.0,0.1525728836249093,,static,0.0,0.0,5.0,,1e-05,0,False,1.0,0.0,,0.1525728836249093,0,0,calibrate,0,False,21.167344699357116,21.167344699357116,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000000,False,1,0,,,,,0.0,4.6007981300354
,,,,,0.0,0.0,104.24574994524941,1.856126454185714,eps_delta,0.0,0.0,0.09794241784912665,,static,0.0,0.0,0.3698452310483253,,1e-05,0,False,1.0,0.0,,0.09794241784912665,1,1,calibrate,0,False,20.829544510634193,17.78934281212786,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000001,False,2,0,,,,,0.0,4.2177414894104
,,,,,0.0,0.0,144.17768619666856,1.5223079562737318,eps_delta,0.0,0.0,0.08328196703527953,,static,0.0,0.0,0.3537240514497756,,1e-05,0,False,1.0,0.0,,0.08328196703527953,2,2,calibrate,0,False,20.46840815031168,17.218180907409057,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000002,False,3,0,,,,,0.0,4.150948524475098
,,,,,0.0,0.0,3182.5712745434994,10.9919335001121,eps_delta,0.0,0.0,0.0177260075812289,,static,0.0,0.0,3.1745792583491483,,1e-05,0,False,1.0,0.0,,0.0177260075812289,3,3,calibrate,0,False,20.934825615094038,25.132582798135232,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000003,False,4,0,,,,,0.0,5.014744758605957
,,,,,0.0,0.0,4915.288878193148,10.19261825041474,eps_delta,0.0,0.0,0.01426347931058595,,static,0.0,0.0,1.690402814144791,,1e-05,0,False,1.0,0.0,,0.01426347931058595,4,4,calibrate,0,False,20.49806727694347,16.56724223358836,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000004,False,5,0,,,,,0.0,4.083949565887451
,,,,,0.0,0.0,5190.651842725428,3.09409338411739,eps_delta,0.0,0.0,0.013879986700417131,,static,0.0,0.0,0.9521672730903807,,1e-05,0,False,1.0,0.0,,0.013879986700417131,5,5,calibrate,0,False,21.291835198030405,28.435746487812807,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000005,False,6,0,,,,,0.0,5.363198280334473
,,,,,0.0,0.0,6048.798906907656,6.1613107791769055,eps_delta,0.0,0.0,0.012857763305643841,,static,0.0,0.0,1.0996275181975612,,1e-05,0,False,1.0,0.0,,0.012857763305643841,6,6,calibrate,0,False,21.3692772306227,22.06625552395335,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000006,False,7,0,,,,,0.0,4.754518032073975
,,,,,0.0,0.0,6137.96211561532,2.482543519674687,eps_delta,0.0,0.0,0.012764032408330654,,static,0.0,0.0,0.4433685965308657,,1e-05,0,False,1.0,0.0,,0.012764032408330654,7,7,calibrate,0,False,20.65488688702401,14.22537379463578,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000007,False,8,0,,,,,0.0,3.8037352561950684
,,,,,0.0,0.0,6852.76567191166,7.876702981553194,eps_delta,0.0,0.0,0.012080003475745777,,static,0.0,0.0,1.789030539713399,,1e-05,0,False,1.0,0.0,,0.012080003475745777,8,8,calibrate,0,False,19.719239096480564,11.29840898158958,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000008,False,9,0,,,,,0.0,3.394312858581543
,,,,,0.0,0.0,7115.923678514525,2.9052170809987476,eps_delta,0.0,0.0,0.01185453052483912,,static,0.0,0.0,1.1748842743653085,,1e-05,0,False,1.0,0.0,,0.01185453052483912,9,9,calibrate,0,False,20.638607888871693,28.912927020391848,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000009,False,10,0,,,,,0.0,5.583865165710449
,,,,,0.0,0.0,7223.210395331339,2.5953187694999977,eps_delta,0.0,0.0,0.011766163189249694,,static,0.0,0.0,0.4402984960589744,,1e-05,0,False,1.0,0.0,,0.011766163189249694,10,10,calibrate,0,False,20.008284216335674,14.335371163511486,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000010,False,11,0,,,,,0.0,3.990851640701294
,,,,,0.0,0.0,7351.172345534757,2.255064307040309,eps_delta,0.0,0.0,0.011663306742478662,,static,0.0,0.0,0.6792175186257131,,1e-05,0,False,1.0,0.0,,0.011663306742478662,11,11,calibrate,0,False,20.464168144850948,24.56712350148842,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000011,False,12,0,,,,,0.0,5.01631498336792
,,,,,0.0,0.0,7757.658884448661,4.409535578910196,eps_delta,0.0,0.0,0.011353627997711125,,static,0.0,0.0,1.0007958886634563,,1e-05,0,False,1.0,0.0,,0.011353627997711125,12,12,calibrate,0,False,20.249777353366227,18.32026023000374,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000012,False,13,0,,,,,0.0,4.572302341461182
,,,,,0.0,0.0,7980.8265598175985,2.919111258484823,eps_delta,0.0,0.0,0.011193761867094299,,static,0.0,0.0,0.7050394333299063,,1e-05,0,False,1.0,0.0,,0.011193761867094299,13,13,calibrate,0,False,20.71631256375323,24.91512945723627,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000013,False,14,0,,,,,0.0,5.117653846740723
,,,,,0.0,0.0,8299.511990134895,3.877250049355552,eps_delta,0.0,0.0,0.010976748700197608,,static,0.0,0.0,0.8387408151977309,,1e-05,0,False,1.0,0.0,,0.010976748700197608,14,14,calibrate,0,False,20.66764452959545,20.229632222175418,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000014,False,15,0,,,,,0.0,4.604259014129639
,,,,,0.0,0.0,8301.348673202814,0.3730099992154725,eps_delta,0.0,0.0,0.01097553432380251,,static,0.0,0.0,0.06434194071196121,,1e-05,0,False,1.0,0.0,,0.01097553432380251,15,15,calibrate,0,False,19.89570562650851,12.948255498726006,0,0,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,linear_000015,False,16,0,,,,,0.0,3.632772922515869
