C_hat,D_hat,G_hat,N_gamma,N_star_theory,P_T,P_T_est,S_scalar,acc,accountant,avg_regret,avg_regret_with_noise,base_eta_t,c_hat,comparator_type,cum_regret,cum_regret_with_noise,delta_step_theory,delta_total,drift_boost_remaining,drift_flag,eps_remaining,eps_spent,eps_step_theory,eta_t,event,event_id,event_type,lambda_est,m_capacity,m_used,noise_regret_cum,noise_regret_increment,op,regret,regret_dynamic,regret_increment,regret_path_term,regret_static_term,rho_remaining,rho_spent,rho_step,sample_id,segment_id,sens_delete,sigma_step,sigma_step_theory,x_norm,seed,grid_id,gamma_bar,gamma_split,N_star_live,m_theory_live,blocked_reason,path_type,rotate_angle,drift_rate,feature_scale,w_scale,fix_w_norm,noise_std
1.0,0.4556037242849906,29.975769392182844,,,0.0,0.0,159.50008474553556,2.745031119896261,unknown,0.0,0.0,0.0791807372113385,1.0,none,0.0,0.0,,,0,False,,,,0.0791807372113385,0,0,calibrate,21.167344497833437,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000000,0,,,,4.6007981300354,3,gamma_1.0-split_0.5_q0.95_k10_default_eps1.0_cmpdynamic_orcoff_prot_ang0.01_dr0.001_fs1_hfa152c14,,,,,,,,,,,,
1.0,0.4556037242849906,29.975769392182844,,,0.0,0.0,379.3090986727232,3.515141206541628,unknown,0.0,0.0,0.0513456161486384,1.0,none,0.0,0.0,,,0,False,,,,0.0513456161486384,1,1,calibrate,20.82954485241668,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000001,0,,,,4.2177414894104,3,gamma_1.0-split_0.5_q0.95_k10_default_eps1.0_cmpdynamic_orcoff_prot_ang0.01_dr0.001_fs1_hfa152c14,,,,,,,,,,,,
1.0,0.4556037242849906,29.975769392182844,,,0.0,0.0,797.5456360931955,4.926784973445179,unknown,0.0,0.0,0.0354096984630657,1.0,none,0.0,0.0,,,0,False,,,,0.0354096984630657,2,2,calibrate,20.468399923276834,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000002,0,,,,4.150948524475098,3,gamma_1.0-split_0.5_q0.95_k10_default_eps1.0_cmpdynamic_orcoff_prot_ang0.01_dr0.001_fs1_hfa152c14,,,,,,,,,,,,
1.0,0.4556037242849906,29.975769392182844,,,0.0,0.0,800.2586965923812,0.3284587927488527,unknown,0.0,0.0,0.0353496240042654,1.0,none,0.0,0.0,,,0,False,,,,0.0353496240042654,3,3,calibrate,20.934818760392016,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000003,0,,,,5.014744758605957,3,gamma_1.0-split_0.5_q0.95_k10_default_eps1.0_cmpdynamic_orcoff_prot_ang0.01_dr0.001_fs1_hfa152c14,,,,,,,,,,,,
1.0,0.4556037242849906,29.975769392182844,,,0.0,0.0,897.5723272773305,2.4154969388661294,unknown,0.0,0.0,0.0333783813910691,1.0,none,0.0,0.0,,,0,False,,,,0.0333783813910691,4,4,calibrate,20.498047365014248,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000004,0,,,,4.083949565887451,3,gamma_1.0-split_0.5_q0.95_k10_default_eps1.0_cmpdynamic_orcoff_prot_ang0.01_dr0.001_fs1_hfa152c14,,,,,,,,,,,,
1.0,0.4556037242849906,29.975769392182844,,,0.0,0.0,904.340492704064,0.4850780280026716,unknown,0.0,0.0,0.0332532434140923,1.0,none,0.0,0.0,,,0,False,,,,0.0332532434140923,5,5,calibrate,21.291817538279048,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000005,0,,,,5.363198280334473,3,gamma_1.0-split_0.5_q0.95_k10_default_eps1.0_cmpdynamic_orcoff_prot_ang0.01_dr0.001_fs1_hfa152c14,,,,,,,,,,,,
1.0,0.4556037242849906,29.975769392182844,,,0.0,0.0,986.6249041544792,1.907885435845002,unknown,0.0,0.0,0.0318364007730861,1.0,none,0.0,0.0,,,0,False,,,,0.0318364007730861,6,6,calibrate,21.369268956979077,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000006,0,,,,4.754518032073975,3,gamma_1.0-split_0.5_q0.95_k10_default_eps1.0_cmpdynamic_orcoff_prot_ang0.01_dr0.001_fs1_hfa152c14,,,,,,,,,,,,
1.0,0.4556037242849906,29.975769392182844,,,0.0,0.0,1206.4106399650902,3.8975300216109865,unknown,0.0,0.0,0.0287907130205527,1.0,none,0.0,0.0,,,0,False,,,,0.0287907130205527,7,7,calibrate,20.65489033471703,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000007,0,,,,3.803735256195069,3,gamma_1.0-split_0.5_q0.95_k10_default_eps1.0_cmpdynamic_orcoff_prot_ang0.01_dr0.001_fs1_hfa152c14,,,,,,,,,,,,
1.0,0.4556037242849906,29.975769392182844,,,0.0,0.0,1215.0988848817938,0.8683887193667328,unknown,0.0,0.0,0.028687598156254,1.0,none,0.0,0.0,,,0,False,,,,0.028687598156254,8,8,calibrate,19.719243248937715,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000008,0,,,,3.394312858581543,3,gamma_1.0-split_0.5_q0.95_k10_default_eps1.0_cmpdynamic_orcoff_prot_ang0.01_dr0.001_fs1_hfa152c14,,,,,,,,,,,,
1.0,0.4556037242849906,29.975769392182844,,,0.0,0.0,2099.973112886184,5.3272837565149205,unknown,0.0,0.0,0.0218219287213514,1.0,none,0.0,0.0,,,0,False,,,,0.0218219287213514,9,9,calibrate,20.638664842903747,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000009,0,,,,5.583865165710449,3,gamma_1.0-split_0.5_q0.95_k10_default_eps1.0_cmpdynamic_orcoff_prot_ang0.01_dr0.001_fs1_hfa152c14,,,,,,,,,,,,
