C_hat,D_hat,G_hat,N_gamma,N_star_theory,P_T,P_T_est,S_scalar,acc,accountant,avg_regret,avg_regret_with_noise,base_eta_t,c_hat,comparator_type,cum_regret,cum_regret_with_noise,delta_step_theory,delta_total,drift_boost_remaining,drift_flag,eps_remaining,eps_spent,eps_step_theory,eta_t,event,event_id,event_type,lambda_est,m_capacity,m_used,noise_regret_cum,noise_regret_increment,op,regret,regret_dynamic,regret_increment,regret_path_term,regret_static_term,rho_remaining,rho_spent,rho_step,sample_id,segment_id,sens_delete,sigma_step,sigma_step_theory,x_norm
,,,,,0.0,0.0,42.95812239648216,1.4245885486857957,,0.0,0.0,0.1525728836249093,,none,0.0,0.0,,,0,False,,,,0.1525728836249093,0,0,calibrate,21.167344524977914,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000000,0,,,,4.6007981300354
,,,,,0.0,0.0,102.50765163987944,1.829612868192644,,0.0,0.0,0.0987692731634669,,none,0.0,0.0,,,0,False,,,,0.0987692731634669,1,1,calibrate,20.829543223279806,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000001,0,,,,4.2177414894104
,,,,,0.0,0.0,152.17790562802344,1.697855840885365,,0.0,0.0,0.08106328491669178,,none,0.0,0.0,,,0,False,,,,0.08106328491669178,2,2,calibrate,20.468400807225294,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000002,0,,,,4.150948524475098
,,,,,0.0,0.0,3100.725804090752,10.828174198584048,,0.0,0.0,0.017958428019181075,,none,0.0,0.0,,,0,False,,,,0.017958428019181075,3,3,calibrate,20.934822239009037,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000003,0,,,,5.014744758605957
,,,,,0.0,0.0,4753.505818403939,9.954676498520339,,0.0,0.0,0.014504173463333892,,none,0.0,0.0,,,0,False,,,,0.014504173463333892,4,4,calibrate,20.498047219903444,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000004,0,,,,4.083949565887451
,,,,,0.0,0.0,4994.98456632964,2.897447469880732,,0.0,0.0,0.01414923385860429,,none,0.0,0.0,,,0,False,,,,0.01414923385860429,5,5,calibrate,21.291823519586334,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000005,0,,,,5.363198280334473
,,,,,0.0,0.0,5903.054550742422,6.338013449070136,,0.0,0.0,0.013015522332909618,,none,0.0,0.0,,,0,False,,,,0.013015522332909618,6,6,calibrate,21.369277380173045,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000006,0,,,,4.754518032073975
,,,,,0.0,0.0,5969.407511975149,2.1415088594257434,,0.0,0.0,0.012942983159921066,,none,0.0,0.0,,,0,False,,,,0.012942983159921066,7,7,calibrate,20.654903453687737,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000007,0,,,,3.8037352561950684
,,,,,0.0,0.0,6651.696567992947,7.695420489960783,,0.0,0.0,0.012261222829427966,,none,0.0,0.0,,,0,False,,,,0.012261222829427966,8,8,calibrate,19.719256461859636,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000008,0,,,,3.394312858581543
,,,,,0.0,0.0,6863.426900215833,2.605893119618326,,0.0,0.0,0.01207061765956006,,none,0.0,0.0,,,0,False,,,,0.01207061765956006,9,9,calibrate,20.638669984242057,,,0.0,0.0,calibrate,0.0,0.0,0.0,0.0,0.0,,,,linear_000009,0,,,,5.583865165710449
