event,op,regret,acc,eps_spent,capacity_remaining
0,insert,2.0,2.0,0.0,1.0
1,insert,68077567739239.18,11668553.272727273,0.0,1.0
2,insert,99462518236344.38,7922745.79891406,0.0,1.0
3,insert,113259659103940.19,5253025.959881753,0.0,1.0
4,insert,121489803390049.88,4057128.118782961,0.0,1.0
5,insert,126649952193591.86,3212522.001027224,0.0,1.0
6,insert,128923201696912.08,2132252.0973469466,0.0,1.0
7,insert,130648455319532.92,1857554.1029110518,0.0,1.0
8,insert,131642994040587.66,1410346.5680851229,0.0,1.0
9,insert,132105939890704.11,962232.6642932646,0.0,1.0
10,insert,132934159658027.89,1287027.4024462579,0.0,1.0
11,insert,133131073814624.05,627557.4182433862,0.0,1.0
12,insert,133446179573997.28,793858.6264231638,0.0,1.0
13,insert,133541356722694.02,436296.1120540442,0.0,1.0
14,insert,133677044123219.36,520936.46546453977,0.0,1.0
15,insert,133742666379562.8,362276.8453639947,0.0,1.0
16,insert,133749989941886.02,121025.30581007982,0.0,1.0
17,insert,133818326009033.84,369691.94513225486,0.0,1.0
18,insert,133821924154969.14,84830.96056625104,0.0,1.0
19,insert,133845717482730.17,218143.6579918361,0.0,1.0
20,insert,133903960128206.08,341299.4153991814,0.0,1.0
21,insert,133908467010692.62,94940.84986507402,0.0,1.0
22,insert,133932957782376.81,221317.74300398407,0.0,1.0
23,insert,133940476138149.16,122624.26980284732,0.0,1.0
24,insert,133941352194424.84,41858.243529538115,0.0,1.0
25,insert,133943932447356.08,71836.66099197564,0.0,1.0
26,insert,133944411008859.47,30937.40465512981,0.0,1.0
27,insert,133949003455430.3,95837.84816889765,0.0,1.0
28,insert,133964556337631.48,176368.26359178856,0.0,1.0
29,insert,133965534238160.17,44224.43959359286,0.0,1.0
30,insert,133990904622738.45,225257.1178821457,0.0,1.0
31,insert,133990960575298.84,10578.521673051684,0.0,1.0
32,insert,134034730677049.2,295871.9376702041,0.0,1.0
33,insert,134034852431943.3,15604.800164723209,0.0,1.0
34,insert,134078828075956.73,296565.8241046753,0.0,1.0
35,insert,134097017538409.69,190732.60053252487,0.0,1.0
36,insert,134117399174600.73,201899.16389649035,0.0,1.0
37,insert,134118689571106.23,50801.505991350044,0.0,1.0
38,insert,134120927202095.1,66897.39888610292,0.0,1.0
39,insert,134121659682193.19,38274.79844726401,0.0,1.0
