step,regret
1,[4.9680512e+09]
100,[5.25717972e+09]
200,[5.36369622e+09]
300,[5.4076026e+09]
400,[5.42778831e+09]
500,[5.46006868e+09]
600,[5.47955359e+09]
700,[5.49711301e+09]
800,[5.51194444e+09]
900,[5.5250408e+09]
1000,[5.53360398e+09]
1100,[5.53545849e+09]
1200,[5.53760139e+09]
1300,[5.53932806e+09]
1400,[5.54060232e+09]
1500,[5.54152749e+09]
1600,[5.54251653e+09]
1700,[5.54326361e+09]
1800,[5.54406377e+09]
1900,[5.54475503e+09]
2000,[5.54542773e+09]
2100,[5.54556862e+09]
2200,[5.54578664e+09]
2300,[5.54589357e+09]
2400,[5.54603841e+09]
2500,[5.54612784e+09]
2600,[5.54621619e+09]
2700,[5.5462964e+09]
2800,[5.54636575e+09]
2900,[5.54644225e+09]
3000,[5.54653699e+09]
3100,[5.54658093e+09]
3200,[5.5466117e+09]
3300,[5.54664226e+09]
3400,[5.54667508e+09]
3500,[5.54669886e+09]
3600,[5.54672822e+09]
3700,[5.54675069e+09]
3800,[5.54677429e+09]
3900,[5.54679008e+09]
4000,[5.5468121e+09]
4100,[5.54681992e+09]
4200,[5.54682698e+09]
4300,[5.54683464e+09]
4400,[5.54684025e+09]
4500,[5.5468482e+09]
4600,[5.54685474e+09]
4700,[5.54686972e+09]
4800,[5.54687687e+09]
4900,[5.54688773e+09]
5000,[5.54689249e+09]
5100,[5.54689671e+09]
5200,[5.54689975e+09]
5300,[5.54690195e+09]
5400,[5.54690425e+09]
5500,[5.5469064e+09]
5600,[5.54690831e+09]
5700,[5.54691108e+09]
5800,[5.54691285e+09]
5900,[5.5469148e+09]
6000,[5.54691686e+09]
6100,[5.54691815e+09]
6200,[5.54691951e+09]
6300,[5.54692105e+09]
6400,[5.5469226e+09]
6500,[5.54692375e+09]
6600,[5.54692549e+09]
6700,[5.54692748e+09]
6800,[5.54692955e+09]
6900,[5.54693136e+09]
7000,[5.54693218e+09]
7100,[5.5469327e+09]
7200,[5.5469336e+09]
7300,[5.54693421e+09]
7400,[5.54693494e+09]
7500,[5.54693655e+09]
7600,[5.54693697e+09]
7700,[5.54693745e+09]
7800,[5.54693805e+09]
7900,[5.54693847e+09]
8000,[5.54693995e+09]
8100,[5.54694043e+09]
8200,[5.54694077e+09]
8300,[5.54694123e+09]
8400,[5.54694157e+09]
8500,[5.54694181e+09]
8600,[5.54694265e+09]
8700,[5.54694333e+09]
8800,[5.54694362e+09]
8900,[5.54694399e+09]
9000,[5.54694477e+09]
9100,[5.54694495e+09]
9200,[5.54694514e+09]
9300,[5.54694551e+09]
9400,[5.54694583e+09]
9500,[5.54694607e+09]
9600,[5.54694641e+09]
9700,[5.54694654e+09]
9800,[5.54694692e+09]
9900,[5.5469471e+09]
10000,[5.54694718e+09]
10100,[5.54694741e+09]
10200,[5.54694757e+09]
10300,[5.54694775e+09]
10400,[5.54694786e+09]
10500,[5.54694795e+09]
10600,[5.54694805e+09]
10700,[5.54694819e+09]
10800,[5.54694825e+09]
10900,[5.5469483e+09]
11000,[5.54694847e+09]
11100,[5.5469488e+09]
11200,[5.54694887e+09]
11300,[5.54694895e+09]
11400,[5.54694903e+09]
11500,[5.54694909e+09]
11600,[5.54694936e+09]
11700,[5.5469494e+09]
11800,[5.5469496e+09]
11900,[5.54694966e+09]
12000,[5.54694982e+09]
12100,[5.54694994e+09]
12200,[5.54695e+09]
12300,[5.54695041e+09]
12400,[5.54695063e+09]
12500,[5.54695067e+09]
12600,[5.54695078e+09]
12700,[5.54695081e+09]
12800,[5.54695086e+09]
12900,[5.54695093e+09]
13000,[5.54695099e+09]
13100,[5.54695112e+09]
13200,[5.5469512e+09]
13300,[5.54695137e+09]
13400,[5.54695154e+09]
13500,[5.54695164e+09]
13600,[5.54695169e+09]
13700,[5.54695176e+09]
13800,[5.54695183e+09]
13900,[5.54695188e+09]
14000,[5.54695194e+09]
14100,[5.54695197e+09]
14200,[5.54695202e+09]
14300,[5.54695212e+09]
14400,[5.54695214e+09]
14500,[5.54695217e+09]
14600,[5.54695225e+09]
14700,[5.54695235e+09]
14800,[5.54695237e+09]
14900,[5.54695241e+09]
15000,[5.54695244e+09]
15100,[5.54695261e+09]
15200,[5.54695263e+09]
15300,[5.54695267e+09]
15400,[5.54695271e+09]
15500,[5.54695273e+09]
15600,[5.54695276e+09]
15700,[5.54695278e+09]
15800,[5.5469528e+09]
15900,[5.54695284e+09]
16000,[5.54695286e+09]
16100,[5.54695291e+09]
16200,[5.54695295e+09]
16300,[5.54695298e+09]
16400,[5.54695302e+09]
16500,[5.5469532e+09]
16600,[5.54695324e+09]
16700,[5.54695328e+09]
16800,[5.54695332e+09]
16900,[5.54695336e+09]
17000,[5.54695338e+09]
17100,[5.54695349e+09]
17200,[5.54695352e+09]
17300,[5.54695353e+09]
17400,[5.54695356e+09]
17500,[5.54695359e+09]
17600,[5.54695362e+09]
17700,[5.54695363e+09]
17800,[5.54695366e+09]
17900,[5.54695367e+09]
18000,[5.5469537e+09]
18100,[5.54695372e+09]
18200,[5.54695373e+09]
18300,[5.54695374e+09]
18400,[5.54695376e+09]
18500,[5.54695378e+09]
18600,[5.54695379e+09]
18700,[5.54695382e+09]
18800,[5.54695383e+09]
18900,[5.54695386e+09]
19000,[5.54695388e+09]
19100,[5.54695397e+09]
19200,[5.54695399e+09]
19300,[5.54695402e+09]
19400,[5.54695408e+09]
19500,[5.54695414e+09]
19600,[5.54695416e+09]
19700,[5.54695419e+09]
19800,[5.54695421e+09]
19900,[5.54695422e+09]
20000,[5.54695426e+09]
20100,[5.54695427e+09]
20200,[5.54695429e+09]
20300,[5.5469543e+09]
20400,[5.54695432e+09]
20500,[5.54695434e+09]
20600,[5.54695442e+09]
20700,[5.54695445e+09]
20800,[5.54695448e+09]
20900,[5.5469545e+09]
21000,[5.54695452e+09]
21100,[5.54695454e+09]
21200,[5.54695458e+09]
21300,[5.54695459e+09]
21400,[5.5469546e+09]
21500,[5.54695462e+09]
21600,[5.54695463e+09]
21700,[5.54695464e+09]
21800,[5.54695465e+09]
21900,[5.54695468e+09]
22000,[5.54695473e+09]
22100,[5.54695475e+09]
22200,[5.54695477e+09]
22300,[5.54695478e+09]
22400,[5.5469548e+09]
22500,[5.54695482e+09]
22600,[5.54695484e+09]
22700,[5.54695485e+09]
22800,[5.54695486e+09]
22900,[5.54695488e+09]
23000,[5.5469549e+09]
23100,[5.54695492e+09]
23200,[5.54695493e+09]
23300,[5.54695495e+09]
23400,[5.54695496e+09]
23500,[5.54695497e+09]
23600,[5.54695498e+09]
23700,[5.54695499e+09]
23800,[5.546955e+09]
23900,[5.54695502e+09]
24000,[5.54695503e+09]
24100,[5.54695504e+09]
24200,[5.54695505e+09]
24300,[5.54695507e+09]
24400,[5.54695509e+09]
24500,[5.5469551e+09]
24600,[5.54695511e+09]
24700,[5.54695514e+09]
24800,[5.54695516e+09]
24900,[5.54695517e+09]
25000,[5.54695518e+09]
25100,[5.54695519e+09]
25200,[5.54695521e+09]
25300,[5.54695524e+09]
25400,[5.54695526e+09]
25500,[5.54695528e+09]
25600,[5.54695531e+09]
25700,[5.54695532e+09]
25800,[5.54695534e+09]
25900,[5.54695536e+09]
26000,[5.54695537e+09]
26100,[5.54695539e+09]
26200,[5.5469554e+09]
26300,[5.54695542e+09]
26400,[5.54695545e+09]
26500,[5.54695546e+09]
26600,[5.54695548e+09]
26700,[5.54695551e+09]
26800,[5.54695552e+09]
