step,regret
1,0.0
100,33631130.86851306
200,33981313.29455244
300,33412393.143684853
400,33347771.544206217
500,32611761.512096554
600,34285026.74867847
700,34605133.3680148
800,33693807.219369136
900,33974663.69502659
1000,33387416.565474987
1100,33082569.22573602
1200,33298625.84602431
1300,33601849.121326745
1400,33567690.043652445
1500,34062532.967965275
1600,33844494.229741275
1700,33997148.610145755
1800,33812224.82666107
1900,34007981.62748396
2000,34102085.72273534
2100,33963006.43435126
2200,34305946.89103214
2300,34033665.58562912
2400,33525443.882745266
2500,33569239.29025951
2600,33335376.616410483
2700,33533548.727113258
2800,33801650.03467351
2900,33537655.330048595
3000,33431365.72395142
3100,33357019.00057496
3200,33658177.7043329
3300,33471508.667508565
3400,33613376.69104196
3500,33760902.46868218
3600,33236921.263351608
3700,33598058.1725703
3800,33526681.934419338
3900,33567166.58103958
4000,33258489.47767482
4100,33318832.927982852
4200,33560185.84119683
4300,33897510.87330952
4400,33120975.83856184
4500,33199639.266927686
4600,33242973.014876693
4700,33220995.991027374
4800,33086239.148072314
4900,33183607.521608554
5000,33155972.17637993
5100,33028960.75328964
5200,32968411.65859453
5300,33043405.47826914
5400,32909849.299531505
5500,32874734.402410667
5600,33023931.465665102
5700,32958008.432006046
5800,32853486.651394013
5900,32718186.584755808
6000,32705360.199110243
6100,33032164.524853002
6200,32795472.75442825
6300,32831400.177303534
6400,32809094.855917763
6500,33008652.042867042
6600,32962747.61600319
6700,33040462.204501152
6800,32921521.963631425
6900,32756642.037877433
7000,32952844.486451503
7100,32888307.029459395
7200,32930071.17781228
7300,32869813.929462314
7400,32931430.16111438
7500,33045939.015960347
7600,32881583.433366023
7700,33073262.886335187
7800,33082600.10308627
7900,33070116.701442026
8000,33069042.202516384
8100,33069550.295786437
8200,33173316.00892398
8300,32973895.296046875
8400,33003839.7937714
8500,33077322.44871547
8600,32928177.66575859
8700,33024431.843443003
8800,33032383.829138402
8900,33145865.191490795
9000,33081970.25787202
9100,32956532.203102343
9200,33022838.382256985
9300,33066513.964269638
9400,32999080.694897693
9500,33003225.66069594
9600,32941143.347129952
9700,32986257.138923813
9800,32872438.112229392
9900,32967080.749764513
10000,32946779.455140717
10100,32926964.712122157
10200,32973831.223965805
10300,32897547.16765429
10400,32939403.68095917
10500,32911427.227441642
10600,32924007.218663182
10700,32922288.837991145
10800,32960455.315725498
10900,32867793.139945053
11000,32874374.289468884
11100,32940523.10957072
11200,32913287.62615392
11300,32898103.06513379
11400,32916712.376124706
11500,32889324.037034012
11600,32887755.9347867
11700,32884009.42456832
11800,32909483.436352566
11900,32899302.345836937
12000,32887993.563443612
12100,32919196.219347827
12200,32873430.602611836
12300,32923717.542611793
12400,32910958.12647192
12500,32886147.780429903
12600,32912263.50869331
12700,32898056.29499267
12800,32922078.120005127
12900,32879506.430545006
13000,32910126.64488354
13100,32898842.426750205
13200,32891974.16093284
13300,32904241.92201128
13400,32861184.599233415
13500,32866846.03518087
13600,32880630.703473978
13700,32869471.906368982
13800,32865326.598070897
13900,32887090.813642446
14000,32869348.506687775
14100,32882577.759782333
14200,32889735.680094883
14300,32884075.976319127
14400,32878856.642171923
14500,32877367.361588664
14600,32879691.74451953
14700,32878918.65514009
14800,32867520.132580157
14900,32878952.54295573
15000,32884398.182698045
15100,32884665.22416934
15200,32885134.82555255
15300,32892982.922250003
15400,32894884.337945074
15500,32897625.907486577
15600,32895390.68220874
15700,32898299.002363045
15800,32887535.793596867
15900,32903170.29237707
16000,32904313.007252302
16100,32897516.494770158
16200,32901117.153761357
16300,32909144.914365966
16400,32891931.65542426
16500,32891193.42848866
16600,32888945.381820675
16700,32890688.32545489
16800,32892698.978165567
16900,32889211.301454566
17000,32895867.415028315
17100,32904707.189814694
17200,32898375.550442595
17300,32899446.130838323
17400,32894832.0756057
17500,32907534.387130745
17600,32910854.746753324
17700,32906339.97125335
17800,32905534.411885213
17900,32905835.830723513
18000,32907636.98837032
18100,32915623.800966505
18200,32910347.41500259
18300,32913900.394630637
18400,32916154.660691038
18500,32914065.98234353
18600,32915333.195804916
18700,32917056.22034987
18800,32913640.75779222
18900,32913977.76382189
19000,32913913.28857187
19100,32918543.75915964
19200,32919177.724207867
19300,32918943.708404955
19400,32920154.9775692
19500,32922747.95318738
19600,32924806.24791412
19700,32927079.5666771
19800,32928277.36806093
19900,32930243.227164406
20000,32929979.526309654
20100,32934179.133659754
20200,32932216.631595947
20300,32931910.165023334
20400,32932759.650428433
20500,32934506.823036373
20600,32934459.905778717
20700,32933103.477933966
20800,32938064.424357973
20900,32937006.17787852
21000,32936058.53633947
21100,32934453.736284222
21200,32938475.29966734
21300,32935749.219758123
21400,32937085.217123542
21500,32937297.06783141
21600,32939594.749224868
21700,32940880.836096678
21800,32934913.26946887
21900,32938265.743215706
22000,32938995.513979767
22100,32939770.313295767
22200,32936353.434647948
22300,32936678.522304907
22400,32940912.576367445
22500,32938357.749458633
22600,32938511.959473934
22700,32939185.82360932
22800,32940039.81581794
