step,regret
1,[5.59259799e+14]
100,[6.8819154e+14]
200,[6.89990858e+14]
300,[6.91377169e+14]
400,[6.92768957e+14]
500,[6.94210394e+14]
600,[6.95678194e+14]
700,[6.97079489e+14]
800,[6.98227686e+14]
900,[6.99545521e+14]
1000,[7.01065743e+14]
1100,[7.01962433e+14]
1200,[7.03061168e+14]
1300,[7.04547467e+14]
1400,[7.05887704e+14]
1500,[7.07219975e+14]
1600,[7.0832771e+14]
1700,[7.09537482e+14]
1800,[7.10505738e+14]
1900,[7.11664229e+14]
2000,[7.12794739e+14]
2100,[7.13754948e+14]
2200,[7.14633392e+14]
2300,[7.15597065e+14]
2400,[7.16569829e+14]
2500,[7.17442222e+14]
2600,[7.18153888e+14]
2700,[7.18905166e+14]
2800,[7.19573361e+14]
2900,[7.20527879e+14]
3000,[7.21329813e+14]
3100,[7.2189224e+14]
3200,[7.224986e+14]
3300,[7.23076609e+14]
3400,[7.23670762e+14]
3500,[7.24169218e+14]
3600,[7.24597929e+14]
3700,[7.25221718e+14]
3800,[7.25840107e+14]
3900,[7.26467269e+14]
4000,[7.26991038e+14]
4100,[7.27494799e+14]
4200,[7.28012341e+14]
4300,[7.28454809e+14]
4400,[7.28944188e+14]
4500,[7.29410119e+14]
4600,[7.29861957e+14]
4700,[7.30223527e+14]
4800,[7.30654662e+14]
4900,[7.31101186e+14]
5000,[7.31453443e+14]
5100,[7.31739513e+14]
5200,[7.32126474e+14]
5300,[7.3242993e+14]
5400,[7.32753291e+14]
5500,[7.33064111e+14]
5600,[7.33374323e+14]
5700,[7.33684046e+14]
5800,[7.34008607e+14]
5900,[7.34251315e+14]
6000,[7.34573867e+14]
6100,[7.34908108e+14]
6200,[7.35221953e+14]
6300,[7.35594045e+14]
6400,[7.3582521e+14]
6500,[7.36065077e+14]
6600,[7.36355142e+14]
6700,[7.36606605e+14]
6800,[7.36857612e+14]
6900,[7.37121849e+14]
7000,[7.37372882e+14]
7100,[7.37593943e+14]
7200,[7.37825054e+14]
7300,[7.38000982e+14]
7400,[7.38276956e+14]
7500,[7.38474024e+14]
7600,[7.38654424e+14]
7700,[7.38874583e+14]
7800,[7.39048859e+14]
7900,[7.39242275e+14]
8000,[7.39374825e+14]
8100,[7.39519861e+14]
8200,[7.39660842e+14]
8300,[7.39816052e+14]
8400,[7.39921041e+14]
8500,[7.40049163e+14]
8600,[7.40220291e+14]
8700,[7.40369676e+14]
8800,[7.40497561e+14]
8900,[7.4059245e+14]
9000,[7.40708877e+14]
9100,[7.40810708e+14]
9200,[7.4096795e+14]
9300,[7.41068639e+14]
9400,[7.41218829e+14]
9500,[7.4132162e+14]
9600,[7.41462192e+14]
9700,[7.41568442e+14]
9800,[7.4166642e+14]
9900,[7.41759278e+14]
10000,[7.41849608e+14]
10100,[7.41925449e+14]
10200,[7.42012211e+14]
10300,[7.42085994e+14]
10400,[7.4216887e+14]
10500,[7.42250424e+14]
10600,[7.42317685e+14]
10700,[7.42373199e+14]
10800,[7.42449916e+14]
10900,[7.42549576e+14]
11000,[7.42617143e+14]
11100,[7.42703864e+14]
11200,[7.42778103e+14]
11300,[7.4283125e+14]
11400,[7.42897036e+14]
11500,[7.42970628e+14]
11600,[7.43019042e+14]
11700,[7.43069675e+14]
11800,[7.4312859e+14]
11900,[7.43181244e+14]
12000,[7.43252131e+14]
12100,[7.43300393e+14]
12200,[7.43368985e+14]
12300,[7.43414464e+14]
12400,[7.43450651e+14]
12500,[7.43487417e+14]
12600,[7.43534272e+14]
12700,[7.43579208e+14]
12800,[7.43628756e+14]
12900,[7.4368142e+14]
13000,[7.43721385e+14]
13100,[7.437629e+14]
13200,[7.43810809e+14]
13300,[7.43856034e+14]
13400,[7.4388658e+14]
13500,[7.43914004e+14]
13600,[7.43953711e+14]
13700,[7.43986975e+14]
13800,[7.44017536e+14]
13900,[7.44044899e+14]
14000,[7.44080092e+14]
14100,[7.44112664e+14]
14200,[7.44130796e+14]
14300,[7.44156063e+14]
14400,[7.44184258e+14]
14500,[7.44204989e+14]
14600,[7.44238747e+14]
14700,[7.44269723e+14]
14800,[7.44291186e+14]
14900,[7.44312336e+14]
15000,[7.44330938e+14]
15100,[7.44349092e+14]
15200,[7.4436617e+14]
15300,[7.44388022e+14]
15400,[7.44410992e+14]
15500,[7.44433067e+14]
15600,[7.44449951e+14]
15700,[7.44468909e+14]
15800,[7.44485004e+14]
15900,[7.44502198e+14]
16000,[7.44521447e+14]
16100,[7.44536295e+14]
16200,[7.44552075e+14]
16300,[7.44569701e+14]
16400,[7.44583276e+14]
16500,[7.44597356e+14]
16600,[7.44610062e+14]
16700,[7.44625791e+14]
16800,[7.44642639e+14]
16900,[7.4465718e+14]
17000,[7.44671946e+14]
17100,[7.44688721e+14]
17200,[7.44698558e+14]
17300,[7.44710714e+14]
17400,[7.44723773e+14]
17500,[7.44735352e+14]
17600,[7.44749868e+14]
17700,[7.4476128e+14]
17800,[7.44773793e+14]
17900,[7.44782356e+14]
18000,[7.44794239e+14]
18100,[7.44800898e+14]
18200,[7.44812561e+14]
18300,[7.44823664e+14]
18400,[7.44832554e+14]
18500,[7.44841565e+14]
18600,[7.44853071e+14]
18700,[7.44863205e+14]
18800,[7.44871001e+14]
18900,[7.44877692e+14]
19000,[7.44886322e+14]
19100,[7.44894365e+14]
19200,[7.44902774e+14]
19300,[7.44910081e+14]
19400,[7.44916734e+14]
19500,[7.44923447e+14]
19600,[7.44930788e+14]
19700,[7.44936614e+14]
19800,[7.44943065e+14]
19900,[7.4494742e+14]
20000,[7.449536e+14]
20100,[7.4495935e+14]
20200,[7.44967e+14]
20300,[7.4497104e+14]
20400,[7.44977612e+14]
20500,[7.44983044e+14]
20600,[7.44988139e+14]
20700,[7.44993471e+14]
20800,[7.44998577e+14]
20900,[7.45002693e+14]
21000,[7.45007405e+14]
21100,[7.4501222e+14]
21200,[7.45017817e+14]
21300,[7.45021836e+14]
21400,[7.45025744e+14]
21500,[7.45029721e+14]
21600,[7.45032687e+14]
21700,[7.4503614e+14]
21800,[7.45039935e+14]
21900,[7.45043668e+14]
22000,[7.4504698e+14]
22100,[7.45049721e+14]
22200,[7.4505323e+14]
22300,[7.45056926e+14]
22400,[7.45060443e+14]
22500,[7.45063371e+14]
22600,[7.45065589e+14]
22700,[7.45068954e+14]
22800,[7.4507198e+14]
22900,[7.45074071e+14]
23000,[7.45077234e+14]
23100,[7.45080561e+14]
23200,[7.45082974e+14]
23300,[7.4508574e+14]
23400,[7.45087872e+14]
23500,[7.4509027e+14]
23600,[7.45093266e+14]
23700,[7.45095759e+14]
23800,[7.45097532e+14]
23900,[7.45099443e+14]
24000,[7.45101966e+14]
24100,[7.45109695e+14]
24200,[7.45111419e+14]
24300,[7.45113014e+14]
24400,[7.45114371e+14]
24500,[7.4511642e+14]
24600,[7.45117965e+14]
24700,[7.45119295e+14]
24800,[7.45120815e+14]
24900,[7.4512236e+14]
25000,[7.45123985e+14]
25100,[7.45125402e+14]
25200,[7.45126887e+14]
25300,[7.45127967e+14]
25400,[7.45129176e+14]
25500,[7.45130441e+14]
25600,[7.45131598e+14]
25700,[7.45132587e+14]
25800,[7.45133697e+14]
25900,[7.45134753e+14]
26000,[7.45136044e+14]
