grid_id,gamma_bar,gamma_split,accountant,G_hat,D_hat,sigma_step_theory,N_star_live,m_theory_live,blocked_reason
gamma_1.0-split_0.9_q0.90_k1_relaxed_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.9_q0.99_k1_zcdp_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.5_q0.90_k5_relaxed_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.3_q0.90_k1_eps_delta_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.5_q0.99_k5_eps_delta_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.7_q0.99_k1_zcdp_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.9_q0.90_k5_eps_delta_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.3_q0.90_k5_relaxed_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.7_q0.99_k1_relaxed_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.5_q0.90_k5_eps_delta_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.7_q0.90_k1_eps_delta_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.5_q0.99_k1_zcdp_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.3_q0.99_k1_relaxed_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.9_q0.99_k1_relaxed_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.3_q0.99_k1_zcdp_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.3_q0.99_k5_relaxed_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.9_q0.90_k1_zcdp_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.9_q0.99_k5_zcdp_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.3_q0.99_k5_zcdp_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.5_q0.99_k5_zcdp_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.3_q0.99_k5_eps_delta_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.3_q0.99_k1_eps_delta_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.3_q0.90_k5_eps_delta_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.5_q0.90_k5_zcdp_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
ds_rot-mnist__acct_eps_delta__gbar_0.05__gs_0.3__eps_0.5__dt_0__lam_0.05__q_0.9____h_fda67e22efda,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.7_q0.90_k5_relaxed_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.7_q0.90_k5_eps_delta_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.9_q0.99_k1_eps_delta_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.7_q0.99_k5_eps_delta_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.5_q0.90_k1_eps_delta_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.7_q0.90_k5_zcdp_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.3_q0.90_k1_zcdp_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.3_q0.90_k1_relaxed_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.9_q0.99_k5_relaxed_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.9_q0.90_k5_relaxed_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.7_q0.99_k5_relaxed_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.7_q0.99_k5_zcdp_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.5_q0.90_k1_relaxed_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
ds_rot-mnist__acct_eps_delta__gbar_0.05__gs_0.3__eps_0.5__dt_0__lam_0.05__q_0.95___h_4637ac11ae40,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.5_q0.99_k1_relaxed_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.9_q0.90_k5_zcdp_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.7_q0.99_k1_eps_delta_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.7_q0.90_k1_relaxed_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.5_q0.90_k1_zcdp_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
ds_rot-mnist__acct_eps_delta__gbar_0.05__gs_0.3__eps_0.5__dt_0__lam_0.05__q_0.9____h_4c34db82fd04,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.7_q0.90_k1_zcdp_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.5_q0.99_k1_eps_delta_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.5_q0.99_k5_relaxed_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
ds_rot-mnist__acct_eps_delta__gbar_0.05__gs_0.3__eps_0.5__dt_0__lam_0.05__q_0.95___h_2f09b2a38d79,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.9_q0.90_k1_eps_delta_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.3_q0.90_k5_zcdp_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
gamma_1.0-split_0.9_q0.99_k5_eps_delta_eps1.0,✗,✗,✗,✗,✗,✗,✗,✗,✗
