C_hat,D_hat,G_hat,N_gamma,N_star_theory,PT_target_residual,P_T,P_T_est,P_T_true,ST_running,ST_target_residual,S_scalar,acc,accountant,avg_regret,avg_regret_with_noise,base_eta_t,c_hat,clip_applied,comparator_type,cum_regret,cum_regret_with_noise,d_norm,delta_P,delta_step_theory,delta_total,drift_boost_remaining,drift_flag,eps_remaining,eps_spent,eps_step_theory,eta_t,event,event_id,event_type,g_norm,lambda_est,lambda_raw,m_capacity,m_used,noise,noise_regret_cum,noise_regret_increment,op,pair_admitted,pair_damped,path_regret_increment,privacy_spend_running,regret,regret_dynamic,regret_increment,regret_path_term,regret_static_term,rho_remaining,rho_spent,rho_step,sample_id,sc_active,sc_stable,segment_id,sens_delete,sigma_delete,sigma_step,sigma_step_theory,static_regret_increment,stepsize_params,stepsize_policy,theory_targets,w_star_norm,x_norm
1.0,1.0,1.0,,,-0.00013025992836304136,0.0,0.0,0.0011197400716369587,0.00125,0.0,0.061516025585278286,0.18292598304868185,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.24802424394659142,0.0011197400716369587,,1e-05,0,False,,,,1.0,0,0,calibrate,0.035355339059327376,1.8383892842998648,1.8383892842998648,0,0,-0.22074710981998044,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000000,False,1,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.061516025585278286, 'eta_formula': 'D/√S_t'}",adagrad,"{'target_G': 1.0, 'target_D': 1.0, 'target_c': 1.0, 'target_C': 1.0, 'target_lambda': 0.1, 'target_PT': 1.0, 'target_ST': 1.0, 'accountant': 'zcdp', 'rho_total': 1.0, 'eps_total': None, 'delta_total': 1e-05}",0.5,1.3558721542358398
1.0,1.0,1.0,,,-0.0002605198567261339,0.0,0.0,0.002239480143273866,0.0025,0.0,0.06911279315814077,0.08045512005836411,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.04741076249558152,0.0011197400716369075,,1e-05,0,False,,,,1.0,1,1,calibrate,0.035355339059327376,1.7719107244147518,1.1736036854487342,0,0,0.0827921441558737,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000001,False,2,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.06911279315814077, 'eta_formula': 'D/√S_t'}",adagrad,,0.5,1.0833299160003662
1.0,1.0,1.0,,,-0.0003907797850891811,0.0,0.0,0.0033592202149108187,0.00375,0.0,0.16629826431602251,0.2069953792381296,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.25793149053462844,0.0011197400716369524,,1e-05,0,False,,,,1.0,2,2,calibrate,0.03535533905932737,1.8188217412805334,2.2410208930725677,0,0,0.15416303946906182,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000002,False,3,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.16629826431602251, 'eta_formula': 'D/√S_t'}",adagrad,,0.5,1.5060522556304932
1.0,1.0,1.0,,,-0.0005210397134522695,0.0,0.0,0.004478960286547731,0.005,0.0,0.20764843594726876,0.14289519220853758,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.09727650553818903,0.0011197400716369116,,1e-05,0,False,,,,1.0,3,3,calibrate,0.035355339059327376,1.8345741869152403,1.9763461976276024,0,0,0.11268067932650282,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000003,False,4,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.20764843594726876, 'eta_formula': 'D/√S_t'}",adagrad,,0.49999999999999994,1.4230529069900513
1.0,1.0,1.0,,,-0.0006512996418152868,0.0,0.0,0.0055987003581847135,0.00625,0.0,0.21009605293798714,0.036899194057716696,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.02977150956762026,0.0011197400716369832,,1e-05,0,False,,,,1.0,4,4,calibrate,0.035355339059327376,1.8182022161748752,1.6708544795115903,0,0,0.07547696443122509,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000004,False,5,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.21009605293798714, 'eta_formula': 'D/√S_t'}",adagrad,,0.5,1.3407717943191528
1.0,1.0,1.0,,,-0.0007815595701783596,0.0,0.0,0.00671844042982164,0.007500000000000001,1.1564823173178715e-16,0.22114437435585338,0.0695267531782926,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.06124546658115897,0.0011197400716369266,,1e-05,0,False,,,,1.0,5,5,calibrate,0.035355339059327376,1.8614422585774024,2.2506026402001473,0,0,-0.014597789311522395,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000005,False,6,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.22114437435585338, 'eta_formula': 'D/√S_t'}",adagrad,,0.5,1.5118064880371094
1.0,1.0,1.0,,,-0.000911819498541409,0.0,0.0,0.007838180501458592,0.00875,0.0,0.2211495355073682,0.0014892514857134075,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.0010118155172750686,0.0011197400716369515,,1e-05,0,False,,,,1.0,6,6,calibrate,0.035355339059327376,1.9065012227822387,2.312031900625763,0,0,0.12819022270597127,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000006,False,7,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.2211495355073682, 'eta_formula': 'D/√S_t'}",adagrad,,0.5,1.5254756212234497
1.0,1.0,1.0,,,-0.0010420794269044662,0.0,0.0,0.008957920573095534,0.010000000000000002,1.734723475976807e-16,0.2944056384655805,0.19450399849487277,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.11745585128721313,0.0011197400716369417,,1e-05,0,False,,,,1.0,7,7,calibrate,0.03535533905932738,1.9089336523822653,1.930825518782503,0,0,0.10740306219719437,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000007,False,8,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.2944056384655805, 'eta_formula': 'D/√S_t'}",adagrad,,0.5,1.3915326595306396
1.0,1.0,1.0,,,-0.0011723393552674991,0.0,0.0,0.0100776606447325,0.011250000000000003,3.0839528461809903e-16,0.3231152718127579,0.11843432477490595,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.08407373150480137,0.0011197400716369663,,1e-05,0,False,,,,1.0,8,8,calibrate,0.03535533905932738,1.9172567748327252,1.9921648768868625,0,0,0.039262084457727116,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000008,False,9,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.3231152718127579, 'eta_formula': 'D/√S_t'}",adagrad,,0.5,1.430659294128418
1.0,1.0,1.0,,,-0.0013025992836305372,0.0,0.0,0.011197400716369463,0.012500000000000002,1.3877787807814457e-16,0.3609118600955437,0.11697405911415129,zcdp,0.0,0.0,1.0,1.0,False,none,0.0,0.0,0.10416571579284618,0.0011197400716369626,,1e-05,0,False,,,,1.0,9,9,calibrate,0.03535533905932737,1.9918687530748496,2.663376557253969,0,0,0.0005114312828982819,0.0,0.0,calibrate,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,theory_000009,False,10,0,,nan,,,0.0,"{'D': 1.0, 'S_t': 0.3609118600955437, 'eta_formula': 'D/√S_t'}",adagrad,,0.5,1.6620219945907593
